Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1961,1961,ha,15790,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1961,1961,100 g/ha,82331,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1961,1961,t,130000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1962,1962,ha,16500,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1962,1962,100 g/ha,80606,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1962,1962,t,133000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1963,1963,ha,16210,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1963,1963,100 g/ha,84022,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1963,1963,t,136200,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1964,1964,ha,17270,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1964,1964,100 g/ha,86381,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1964,1964,t,149180,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1965,1965,ha,19070,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1965,1965,100 g/ha,78658,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1965,1965,t,150000,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1966,1966,ha,21340,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1966,1966,100 g/ha,69588,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1966,1966,t,148500,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1967,1967,ha,23514,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1967,1967,100 g/ha,71787,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1967,1967,t,168800,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1968,1968,ha,26800,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1968,1968,100 g/ha,73731,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1968,1968,t,197600,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1969,1969,ha,27543,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1969,1969,100 g/ha,71670,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1969,1969,t,197400,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1970,1970,ha,24300,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1970,1970,100 g/ha,74733,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1970,1970,t,181600,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1971,1971,ha,24300,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1971,1971,100 g/ha,68218,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1971,1971,t,165770,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1972,1972,ha,18527,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1972,1972,100 g/ha,51137,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1972,1972,t,94741,A,Official figure,
