"","YEAR","temp","raindays","evapotranspiration","groundfrost_freq","diurnal_temp","precipitation","Disaster","percent_GDP","percent_working_population","Country","total_yield"
"1",1961,26.3,24.4,6.3,2,14.9,213.8,"0",73.88716501,99.7751336,"Niger",117008
"2",1962,27.1,24.1,6.4,1.2,15.1,190,"0",75.99760963,99.9221013,"Niger",118428
"3",1963,27.5,22.1,6.5,0.7,15.1,167.2,"0",72.94795443,100.5936426,"Niger",121495
"4",1964,27.2,26.1,6.4,0.4,15,227.2,"0",74.3240386,101.8432967,"Niger",124997
"5",1965,26.8,24,6.4,1,15.5,183.2,"0",67.70391961,102.4691241,"Niger",112383
"6",1966,27.2,22.3,6.4,1.3,15.2,178.2,"1",66.87473439,102.2524293,"Niger",115138
"7",1967,26.9,21.2,6.4,1.5,14.7,188.7,"0",70.70632571,101.9774519,"Niger",125382
"8",1968,27.2,22.2,6.4,0.9,15.2,159,"0",69.16820718,101.6186247,"Niger",114399
"9",1969,28.1,20.9,6.6,0.6,15.2,155.2,"0",66.41938091,101.1843011,"Niger",116570
"10",1970,27.2,20,6.5,0.5,15.3,142.6,"0",64.87511187,100.6956884,"Niger",114936
"11",1971,27.3,18.4,6.3,1.3,15,133,"0",65.46078092,100.1606436,"Niger",102634
"12",1972,27.7,18.6,6.3,0.8,15.1,116.6,"0",62.46013645,99.59508232,"Niger",91918
"13",1973,27.8,15.5,6.4,0.3,15.1,98.8,"0",60.27145111,99.01244727,"Niger",108037
"14",1974,27,22.4,6.2,1,14.7,176.7,"1",63.79496479,98.42154841,"Niger",104171
"15",1975,27,19.8,6.3,1.6,15.1,153,"0",50.31146282,97.83733053,"Niger",89462
"16",1976,27.4,21.5,6.3,0.8,15,153.6,"0",47.02771859,97.29066979,"Niger",125227
"17",1977,26.8,19.8,6.2,0.9,14.8,165.7,"0",51.78719519,96.81759366,"Niger",125917
"18",1978,27.4,24.9,6.2,0.6,14.5,200.6,"0",52.68034939,96.47326434,"Niger",125638
"19",1979,27.6,21.9,6.3,0.7,14.7,158,"0",48.68450092,96.28577733,"Niger",115520
"20",1980,27.6,22.1,6.3,0.9,14.7,171.5,"1",43.05660591,96.26528023,"Niger",113655
"21",1981,27.3,22.4,6.2,2,14.7,139.4,"0",45.65180487,96.39125105,"Niger",111000
"22",1982,27.5,18.4,6.3,0.6,14.6,135.4,"0",44.29864469,96.58323526,"Niger",105303
"23",1983,27.3,17,6.2,1.5,14.4,114.7,"0",41.58055549,96.78847015,"Niger",107049
"24",1984,27.9,13.4,6.3,1.2,14.5,76.4,"0",35.7713392,97.01724574,"Niger",144256
"25",1985,27.4,18.3,6.2,0.5,14.2,124.6,"0",36.7428931,97.20655799,"Niger",153543
"26",1986,27.6,20.8,6.3,1.4,14.6,151.9,"1",34.72853994,97.2511863,"Niger",132977
"27",1987,28,15.9,6.6,0.9,15,100.1,"1",35.210848,97.2107533,"Niger",122127
"28",1988,27.4,22.2,6.3,0.6,14.1,186.9,"1",35.35041061,97.1136001,"Niger",132273
"29",1989,26.8,20.9,6.4,2.3,14.6,158.3,"0",34.07162501,96.92729771,"Niger",137582
"30",1990,27.9,17,6.5,0.4,14.9,117.4,"1",29.44224837,96.72507484,"Niger",154937
"31",1991,27.7,20.7,6.4,1,14.5,169.3,"0",31.58085187,96.54373616,"Niger",165568
"32",1992,27,21.4,6.3,1.9,14.5,162.9,"0",33.15940978,96.37245412,"Niger",176172
"33",1993,27.6,20.5,6.5,1.7,15.1,138.4,"0",34.07709255,96.20103553,"Niger",170582
"34",1994,27.3,23.2,6.4,1.4,14.6,211.7,"1",31.16929417,96.02673785,"Niger",175683
"35",1995,27.8,18.5,6.5,1.8,15.1,139.1,"0",30.73058097,95.89221726,"Niger",194308
"36",1996,27.9,18,6.5,0.4,15.5,126.2,"0",32.32870033,95.9441245,"Niger",173124
"37",1997,28,19.7,6.5,1,14.8,139.4,"1",30.23252473,96.25939854,"Niger",198854
"38",1998,28.1,23.1,6.5,1,14.7,177,"1",35.41378097,96.71336778,"Niger",219566
"39",1999,28,22.5,6.5,0.4,15.2,209.5,"1",35.00259458,97.24027924,"Niger",251771
"40",2000,27.5,20.9,6.5,0.9,15.4,146.1,"1",36.57556007,97.8490972,"Niger",285360
"41",2001,27.7,19.4,6.5,1.8,15.6,149.4,"1",40.18192773,98.55614197,"Niger",265127
"42",2002,27.9,18.7,6.6,1.8,15.5,136,"1",41.36693517,99.35537077,"Niger",254371
"43",2003,28,21.5,6.5,0.6,15.2,186.1,"1",41.1955263,100.2322086,"Niger",235940
"44",2004,28.1,20.5,6.6,0.4,15.3,155.8,"1",37.37172856,101.1805291,"Niger",223952
"45",2005,28.2,24.8,6.5,0.7,14.8,188.7,"1",39.28052013,102.1341554,"Niger",225204
"46",2006,28.1,20.9,6.5,1,15.2,159.5,"1",39.74507858,103.0497963,"Niger",223867
"47",2007,28.1,22.7,6.5,1.4,15.4,169.2,"1",37.09450644,103.9288184,"Niger",212401
"48",2008,27.6,23.2,6.5,1.4,15.2,169.4,"1",38.77500623,104.7513839,"Niger",207574
"49",2009,28.7,22.2,6.6,0.2,15.4,149.4,"1",34.78481027,105.48638,"Niger",231315
"50",2010,28.9,24.4,6.6,0.4,15.3,170.9,"1",35.82138796,106.0825355,"Niger",280829
"51",2011,28.3,20.9,6.6,0.9,15.1,145.9,"1",33.64676428,106.5008577,"Niger",170538
"52",2012,28.1,24.4,6.5,0.8,14.9,199.5,"1",33.68099382,106.6240531,"Niger",232284
"53",2013,28.2,21.7,6.6,0.6,15.4,170.2,"1",32.23501073,106.570987,"Niger",281504
"54",2014,28.4,19.7,6.6,0.5,15.1,154.8,"1",33.42904423,106.4532366,"Niger",277228
"55",2015,27.8,20.2,6.5,1.5,14.8,169.1,"1",32.41699527,106.2693908,"Niger",313760
"56",2016,28.5,24.2,6.5,0.6,14.8,185.2,"1",35.26295821,106.1123573,"Niger",312388
"57",2017,27.9,20.7,6.5,0.7,14.8,160.2,"1",35.8168682,106.0260514,"Niger",319414
"58",2018,28.1,23.9,6.5,1.3,14.9,193.3,"1",37.57762186,105.9575555,"Niger",313032
"59",2019,27.8,22.8,6.5,1.5,14.8,183.6,"1",36.99192039,105.8575744,"Niger",371396
"60",2020,27.8,24.2,6.5,0.8,14.9,229.9,"1",38.37557986,105.6938759,"Niger",388024
